Stadium,Capacity,City_State,Country,Region,Tenants,Sports,Image,Location
Wuhan Sports Center Stadium,52672,"Wuhan,Hubei",China,East Asia,Wuhan Zall Fc,Association Football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"(30.5951051, 114.2999353)"
Nef Stadium,52652,Istanbul,Turkey,Europe,Galatasaray Sk,Association Football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"(41.10342555, 28.99103795029205)"
Franklin Field,52593,Philadelphia,United States,North America,Penn Quakers Football,"American Football, Athletics",https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"(39.950067000000004, -75.18997478566465)"
Şükrü Saracoğlu Stadium,52530,Istanbul,Turkey,Western Asia,Fenerbahçe Sk,Association Football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"(40.98758065, 29.03697729928941)"
Donbas Arena,52518,Donetsk,Ukraine,Europe,,Association Football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"(48.02110375, 37.809053135828854)"
Lang Park,52500,Brisbane,Australia,Oceania,"Queensland Maroons,Brisbane Broncos,Queensland Reds,Australia Kangaroos,Australia Wallabies,Australia Socceroos","Rugby League,Rugby Union, Association Football",https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"(-27.46486025, 153.0096055)"
Shi Stadium,52454,"Piscataway, New Jersey",United States,North America,Rutgers Scarlet Knights Football,"American Football, Association Football,Lacrosse",https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"(40.513503650000004, -74.46424350578357)"
St James Park,52387,Newcastle Upon Tyne,United Kingdom,Europe,Newcastle United Fc,Association Football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"(54.9754693, -1.621873666214279)"
Bill Snyder Family Football Stadium,52200,"Manhattan, Kansas",United States,North America,Kansas State Wildcats Football,American Football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"(39.1836082, -96.5716694)"
Huainan Sports Stadium,52080,"Huainan,Anhui",China,East Asia,Local Football Teams,Association Football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"(32.5866826, 117.0130019)"
Hampden Park,52054,Glasgow,United Kingdom,Europe,"Scotland National Football Team,Queens Park Fc",Association Football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"(55.82601405, -4.251927072450821)"
Kings Park Stadium,52000,Durban,South Africa,Africa,"Sharks,Sharks Currie Cup,Amazulu","Rugby Union, Association Football",https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"(-29.824805050000002, 31.028973520139886)"
Estádio Do Dragão,52000,Porto,Portugal,Europe,Fc Porto,Association Football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"(41.161823549999994, -8.583749198495163)"
Estadio Monumental De Maturín,52000,Maturín,Venezuela,South America,Monagas,Association Football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"(9.7422774, -63.1888854)"
Guiyang Olympic Sports Center,52000,"Guiyang,Guizhou",China,East Asia,,Association Football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"(26.559901, 106.6987409)"
Huanglong Stadium,51971,"Hangzhou,Zhejiang",China,East Asia,Hangzhou Greentown Fc,Association Football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"(30.2489634, 120.2052342)"
Secu Stadium,51802,"College Park, Maryland",United States,North America,Maryland Terrapinsfootball,"American Football,Lacrosse",https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"(38.99029865, -76.94745341520814)"
Loftus Versfeld Stadium,51762,Pretoria,South Africa,Africa,"Bulls,Blue Bulls,South Africa National Rugby Union Team,Supersport United","Rugby Union,Cricket, Association Football",https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"(-25.753234749999997, 28.22293274766396)"
Aviva Stadium,51700,Dublin,Ireland,Europe,"Ireland National Rugby Union Team,Republic Of Ireland National Football Team","Rugby Union, Association Football",https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"(53.3352254, -6.2281850790431115)"
Hohhot City Stadium,51632,"Hohhot,Inner Mongolia",China,East Asia,Local Football Teams,Association Football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"(40.85113965, 111.65046250528356)"
Sun Bowl Stadium,51500,"El Paso, Texas",United States,North America,Utep Minersfootball,American Football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"(31.7733646, -106.50794006545833)"
Rice-Eccles Stadium,51444,Salt Lake City,United States,North America,University Of Utah Utes Football Team,American Football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"(40.75985365, -111.84891949263991)"
Shizuoka Stadium,51349,Fukuroi,Japan,East Asia,"Júbilo Iwata,Shimizu S-Pulse",Association Football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"(34.74343045, 137.97072889535485)"
İzmir Atatürk Stadium,51295,İzmir,Turkey,Western Asia,"Altay Sk,Göztepe,",Association Football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"(38.434983450000004, 27.17801135)"
Newlands Stadium,51100,Cape Town,South Africa,Africa,,,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"(-33.970522599999995, 18.46856262554025)"
Dowdyficklen Stadium,51000,"Greenville, North Carolina",United States,North America,East Carolina Pirates Football,American Football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"(35.613224, -77.3724593)"
Ibrox Stadium,50987,Glasgow,United Kingdom,Europe,Rangers Fc,Association Football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"(55.85322065, -4.309323914605736)"
Huntington Bank Stadium,50805,Minneapolis,United States,North America,Minnesota Golden Gophers Football,American Football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"(44.97653965, -93.2231906824895)"
Hocine Aït Ahmed Stadium,50766,Tizi Ouzou,Algeria,Africa,Js Kabylie,Association Football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"(36.72860515, 4.013110465611773)"
Friends Arena,50653,Solna,Sweden,Europe,"Aik,Sweden National Football Team",Association Football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"(59.37250385, 18.00166723894346)"
Estádio José Alvalade,50466,Lisbon,Portugal,Europe,Sporting Clube De Portugal,Association Football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"(38.761216399999995, -9.160783134674658)"
Independence Stadium,50459,"Shreveport, Louisiana",United States,North America,Independence Bowl,American Football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"(32.4756172, -93.79198427554772)"
Coors Field,50445,"Denver, Colorado",United States,North America,Colorado Rockies,Baseball,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"(39.7560314, -104.99292855531493)"
Incheon Munhak Stadium,50256,Incheon,South Korea,East Asia,,Association Football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"(37.4350773, 126.69075155692887)"
Stade Pierre-Mauroy,50186,Villeneuve-Dascq,France,Europe,Lille Osc,Association Football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"(50.61190435, 3.1305079515303946)"
Ekana International Cricket Stadium,50100,Lucknow,India,South Asia,Lucknow Super Giants,Cricket,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"(26.8112569, 81.01680510099538)"
Ajinomoto Stadium,50100,Chōfu,Japan,East Asia,"Fc Tokyo,Tokyo Verdy",Association Football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"(35.66418645, 139.52707517816015)"
David Booth Kansas Memorial Stadium,50071,"Lawrence, Kansas",United States,North America,Kansas Jayhawks Football,American Football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"(38.9631054, -95.24646886063312)"
King Baudouin Stadium,50024,Brussels,Belgium,Europe,Belgium National Football Team,"Association Football, Athletics",https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"(50.89572205, 4.334127921935032)"
Brabourne Stadium,50000,Mumbai,India,South Asia,"Bombay Quadrangular,Rajasthan Royals",Cricket,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"(18.9319276, 72.82496261053336)"
Japoma Stadium,50000,Douala,Cameroon,Africa,"Union Douala,New Star De Douala,Les Astres Fc",Association Football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"(4.0053101, 9.825141532413554)"
Jsca International Cricket Stadium,50000,Ranchi,India,South Asia,"India National Cricket Team,Jharkhand Cricket Team",Cricket,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"(23.31045215, 85.27487741053811)"
Kozhikode Corporation Ems Stadium,50000,Kozhikode,India,South Asia,Gokulam Kerala,"Association Football,Cricket",https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"(11.2450558, 75.7754716)"
Kim Il-Sung Stadium,50000,Pyongyang,North Korea,East Asia,Pyongyang City Sports Group,Association Football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"(39.04385845, 125.75773772090233)"
Charles Mopeli Stadium,50000,Phuthaditjhaba,South Africa,Africa,Free State Stars,Association Football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"(-28.580699099999997, 28.83210390114176)"
Eden Park,50000,Auckland,New Zealand,Oceania,"Auckland Blues,New Zealand National Rugby Union Team,Auckland Aces,New Zealand National Cricket Team","Rugby Union,Cricket",https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"(-36.8750352, 174.7440567126547)"
Edion Stadium Hiroshima,50000,Hiroshima,Japan,East Asia,Sanfrecce Hiroshima,Association Football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"(34.4407675, 132.39321828072832)"
Nagai Stadium,50000,Osaka,Japan,East Asia,Cerezo Osaka,"Association Football, Athletics",https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"(34.61410635, 135.51851097237665)"
Stade Du 26 Mars,50000,Bamako,Mali,Africa,Stade Malien,Association Football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"(12.6043766, -7.921737394539251)"
Stanford Stadium,50000,"Stanford, California",United States,North America,Stanford Cardinal Football,American Football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"(37.43453005, -122.16116296732366)"
Sultan Mizan Zainal Abidin Stadium,50000,Kuala Terengganu,Malaysia,Southeast Asia,Terengganu Fc,"Association Football, Athletics",https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"(5.369713450000001, 103.10568116031331)"
Pars Stadium,50000,Shiraz,Iran,Western Asia,,Association Football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"(29.5651546, 52.4914742)"
Henan Provincial Stadium,50000,"Zhengzhou,Henan",China,East Asia,Local Football Teams,Association Football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"(34.83750225, 113.6228539022892)"
Xinjiang Sports Centre,50000,"Ürümqi,Xinjiang",China,East Asia,Local Football Teams,Association Football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"(43.48961475, 87.44902497946954)"
Wenzhou Olympic Sports Center Stadium,50000,"Wenzhou,Zhejiang",China,East Asia,,Association Football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"(27.9963899, 120.695345)"
Estádio 11 De Novembro,50000,Luanda,Angola,Africa,,Association Football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"(-8.96992095, 13.283531084692665)"
Guangzhou University City Stadium,50000,"Guangzhou,Guangdong",China,East Asia,Local Football Teams,Association Football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"(23.1301964, 113.2592945)"
Jiangxi Olympic Sports Center,50000,"Nanchang,Jiangxi",China,East Asia,Local Football Teams,"Association Football, Athletics",https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"(28.6472124, 116.0348483)"
Max-Morlock-Stadion,50000,Nuremberg,Germany,Europe,1 Fc Nürnberg,Association Football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"(49.426256949999996, 11.125670595735157)"
Rheinenergiestadion,50000,Cologne,Germany,Europe,1 Fc Köln,Association Football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"(50.933505499999995, 6.875116740301886)"
Qingdao Youth Football Stadium,50000,"Qingdao,Shandong",China,East Asia,,Association Football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"(36.2809124, 120.40938848566626)"
De Kuip,49850,Rotterdam,Netherlands,Europe,Feyenoord,Association Football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"(51.8938646, 4.523228129966229)"
Fritz-Walter-Stadion,49780,Kaiserslautern,Germany,Europe,1 Fc Kaiserslautern,Association Football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"(49.4345765, 7.7766302915876775)"
José Amalfitani Stadium,49540,Buenos Aires,Argentina,South America,"Club Atlético Vélez Sarsfield,Argentina National Rugby Union Team,Jaguares","Association Football,Rugby Union",https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"(-34.6353382, -58.520678812977806)"
Camille Chamoun Sports City Stadium,49500,Beirut,Lebanon,Western Asia,Lebanon National Football Team,Association Football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"(33.86707815, 35.49511761682578)"
Rajko Mitić Stadium,49450,Belgrade,Serbia,Europe,Red Star Belgrade,Association Football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"(44.78322025, 20.464675050883898)"
Mestalla,49430,Valencia,Spain,Europe,Valencia Cf,Association Football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"(39.4745279, -0.35815663617491666)"
Jma Wireless Dome,49250,"Syracuse, New York",United States,North America,"Syracuse Orange Football,Syracuse Orange Mens Basketball,Syracuse Orange Mens Lacrosse,Syracuse Orange Womens Basketball","American Football, Basketball,Lacrosse",https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"(43.03628365, -76.13636031709831)"
Miyagi Stadium,49133,Rifu,Japan,East Asia,Vegalta Sendai,"Association Football, Athletics",https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"(38.3353606, 140.95045670397792)"
Globe Life Park In Arlington,49115,"Arlington, Texas",United States,North America,"Dallas Renegades,North Texas Sc","American Football, Association Football",https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"(32.7513904, -97.081762208528)"
Estádio Beira-Rio,49055,Porto Alegre,Brazil,South America,Sport Club Internacional,Association Football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"(-21.28552135, -42.55235295475078)"
Chase Field,49033,"Phoenix, Arizona",United States,North America,Arizona Diamondbacks,Baseball,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"(33.44548555, -112.06669283293144)"
Niedersachsenstadion,49000,Hanover,Germany,Europe,Hannover 96,Association Football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"(52.36002595, 9.731016050053142)"
Queensland Sport And Athletics Centre,49000,Brisbane,Australia,Oceania,,"Rugby League,Athletics",https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"(-27.4689682, 153.0234991)"
Shaheed Veer Narayan Singh International Cricket Stadium,49000,Raipur,India,South Asia,"Chhattisgarh Cricket Team,Delhi Capitals",Cricket,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"(21.2033903, 81.82301922900744)"
Oriole Park At Camden Yards,48876,Baltimore,United States,North America,Baltimore Orioles,Baseball,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"(39.283738299999996, -76.62160555637811)"
Khalifa International Stadium,48496,Doha,Qatar,Western Asia,Qatar National Football Team,Association Football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"(25.26365305, 51.44922446578208)"
Jinnah Sports Stadium,48800,Islamabad,Pakistan,South Asia,Pakistan National Football Team,"Association Football,Cricket,Hockey",https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"(33.7004059, 73.09286037357924)"
Parc Des Princes,48712,Paris,France,Europe,Paris Saint-Germain,Association Football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"(48.841363400000006, 2.2530693162378235)"
Estadio Nacional Julio Martínez Prádanos,48665,Santiago,Chile,South America,"Chile National Football Team,Club Universidad De Chile","Association Football, Athletics",https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"(-33.464382099999995, -70.61061809176775)"
Nelson Mandela Bay Stadium,48459,Port Elizabeth,South Africa,Africa,"Southern Kings,Eastern Province Elephants","Rugby Union, Association Football",https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"(-33.93779205, 25.599408729036078)"
Ernst-Happel-Stadion,48500,Vienna,Austria,Europe,"Austria National Football Team,Fk Austria Wien,Sk Rapid Wien",Association Football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"(48.20718935, 16.420917065669776)"
Stadium Of Light,48339,Sunderland,United Kingdom,Europe,Sunderland Afc,Association Football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"(54.914395299999995, -1.3882579326202478)"
Estadio Tomás Adolfo Ducó,48314,Buenos Aires,Argentina,South America,Club Atlético Huracán,Association Football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"(-34.64306605, -58.3967982638587)"
T-Mobile Park,48116,Seattle,United States,North America,Seattle Mariners,Baseball,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"(47.59148535, -122.33209936747002)"
Estadio Akron,48071,Zapopan,Mexico,North America,Guadalajara,Association Football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"(20.68177085, -103.46184635987743)"
Rajamangala Stadium,48000,Bangkok,Thailand,Southeast Asia,Thailand National Football Team,Association Football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"(13.75542905, 100.62215594572871)"
Harbin International Convention Exhibition And Sports Center,48000,Harbin,China,East Asia,,Athletics,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"(45.7593633, 126.6276177)"
Sydney Cricket Ground,48000,Sydney,Australia,Oceania,"Australia National Cricket Team,Sydney Roosters,New South Wales Blues Cricket,Sydney 6Ers,Sydney Swans,Sydney Fc","Cricket,Australian Rules Football,Rugby League,Association Football",https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"(-33.89142415, 151.2247484294451)"
Estadio Malvinas Argentinas,48000,Mendoza,Argentina,South America,Ciudad De Mendoza,Association Football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"(-32.8896213, -68.87990046530734)"
Casa De Apostas Arena Fonte Nova,47915,Salvador,Brazil,South America,Esporte Clube Bahia,Association Football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"(-12.97888575, -38.503482173027365)"
Koshien Stadium,47757,Nishinomiya,Japan,East Asia,Hanshin Tigers,Baseball,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"(34.7218993, 135.3632964)"
Fisht Olympic Stadium,47659,Sochi,Russia,Europe,Pfc Sochi,"Association Football, Athletics",https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"(43.5854823, 39.723109)"
Ahmad Bin Ali Stadium,47343,Al Rayyan,Qatar,Western Asia,,Association Football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"(25.32969165, 51.34232175095113)"
Arena Corinthians,47252,São Paulo,Brazil,South America,Sport Club Corinthians Paulista,Association Football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"(-23.5452934, -46.474286436433154)"
Estadio Monumental David Arellano,47017,Santiago,Chile,South America,Colo-Colo,Association Football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"(-33.5064746, -70.60492015825801)"
Rice Stadium,47000,Houston,United States,North America,Rice Owls Football,American Football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"(29.7163227, -95.40932454846403)"
Estádio Olímpico Nilton Santos,46931,Rio De Janeiro,Brazil,South America,Botafogo,"Association Football, Athletics",https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"(-22.893194, -43.29356908690929)"
Busch Stadium,46861,St Louis,United States,North America,St Louis Cardinals,Baseball,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"(38.6225538, -90.19392193458768)"
Estadio Metropolitano Roberto Meléndez,46788,Barranquilla,Colombia,South America,"Colombia National Football Team,Atlético Junior",Association Football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"(10.9269548, -74.80051110893285)"
Al Thumama Stadium,46781,Doha,Qatar,Western Asia,,Association Football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"(25.2353106, 51.53291524919637)"
Education City Stadium,46155,Al Rayyan,Qatar,Western Asia,,Association Football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"(25.31085325, 51.42444765904781)"
Peter Mokaba Stadium,46000,Polokwane,South Africa,Africa,,Association Football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"(-23.92480585, 29.467960090979837)"
Estádio Prudentão,45954,Presidente Prudente,Brazil,South America,,Association Football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"(-22.098568, -51.415062142450765)"
Stade Mohammed V,45891,Casablanca,Morocco,North Africa,"Wydad Ac,Raja Casablanca,Tas De Casablanca,Morocco National Football Team",Association Football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"(33.5945144, -7.6200284)"
Tokyo Dome,45600,Tokyo,Japan,East Asia,Yomiuri Giants,Baseball,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"(35.70557055, 139.75197049070806)"
Volgograd Arena,45568,Volgograd,Russia,Europe,Fc Rotor Volgograd,Association Football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"(48.73446415, 44.547393550627945)"
Páirc Uí Chaoimh,45500,Cork,Ireland,Europe,Cork Gaa,"Hurling,Gaelic Football",https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"(51.89972255, -8.435187872627335)"
Ramón Sánchez Pizjuán Stadium,45500,Seville,Spain,Europe,Sevilla Fc,Association Football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"(37.3840876, -5.970630902457186)"
Adrar Stadium,45480,Agadir,Morocco,Africa,Hassania Agadir,Association Football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"(30.4274409, -9.54025399460571)"
Arena Pernambuco,45440,São Lourenço Da Mata,Brazil,South America,Clube Náutico Capibaribe,Association Football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"(-8.04072965, -35.0082334311598)"
Arena Mrv,45414,Belo Horizonte,Brazil,South America,Atlético Mineiro,Association Football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"(-19.9300116, -44.01388130198211)"
Lukoil Arena,45360,Moscow,Russia,Europe,Fc Spartak Moscow,Association Football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"(55.81758845, 37.440609927920065)"
Dy Patil Stadium,45300,Navi Mumbai,India,South Asia,"Mumbai Indians,Indian National Football Team,Mumbai City Fc","Cricket, Association Football",https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"(19.0435531, 73.0278494)"
Mandela National Stadium,45202,Kampala,Uganda,Africa,Uganda National Football Team,Association Football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"(0.3177137, 32.5813539)"
Mclane Stadium,45140,"Waco, Texas",United States,North America,Baylor Bears Football,American Football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"(31.5582247, -97.11568211561965)"
